"proj_title","proj_lead","proj_inst","proj_detail"
"Identifying predictors for ECMO need in COVID 19 patients","Lead Investigator: Ahmed Said","Accessing Institution: Washington University in St. Louis","The novel SARS-CoV2 virus and resulting COVID-19 global pandemic have put unforeseen strain on healthcare systems globally. It is incredibly challenging to know when and where to deploy resources, this is especially true for utilizing extracorporeal membrane oxygenation (ECMO). This technology functions as life sustaining therapy for the most severely affected patients, but only exists in centers with expertise. Utilizing ECMO puts a strain on local resources, and strain on healthcare systems as a whole when deciding when patients need to be transported to experienced regional centers.We plan to analyze our the N3C data to identify factors that are associated with the need for ECMO support in COVID-19 patients. We will analyze the demographics, therapeutics, laboratory values, vital signs, as well as change in these values associated with the binary outcome of necessitating ECMO support in addition to outcomes for patients supported by ECMO."
"Impact of COVID-19 infection in patients with pulmonary non-tuberculous Mycobacterium (NTM) infection: A cohort study.","Lead Investigator: Carlos Figueroa Castro","Accessing Institution: Medical College of Wisconsin","COVID-19 is an infection caused by the SARS-CoV-2 virus, a novel coronavirus causing acute respiratory infection. It is considered a pandemic, affecting at least 31 million people and causing almost a million deaths worldwide. As of September 28, 2020, the virus has infected more than six million in the United States, and caused more than 200,000 deaths. Based on observational studies, multiple risk factors have been associated to poor outcomes, including advanced age, and cardiac and pulmonary conditions. However, the data used for establishing the level of risk in special populations is difficult to extract and analyze when compared to studies analyzing the general population.Our research team is interested in studying the impact of COVID-19 infection in patients with pulmonary non-tuberculous Mycobacterium (NTM) infections. These infections tend to affect people with pulmonary conditions like chronic obstructive pulmonary disease (COPD), cystic fibrosis (CF), bronchiectasis, and certain humoral and cellular immunodeficiency conditions. These infections have a worldwide distribution. In the United States, the most common cause of NTM infections is M.avium intracellulare complex (MAC). The mainstay of therapy is antibiotic therapy, usually a combination of a macrolide (azithromycin, clarithromycin), ethambutol, and rifampin for 18-24 months. Reinfection is common. It is not known whether these patients are at a higher risk for COVID-19 infection, or its severe manifestation."
"Impact of Dermatology Consults on COVID-19 Inpatient Outcomes","Lead Investigator: Julia Mhlaba","Accessing Institution: Northwestern University","The novel coronavirus disease of 2019 (COVID-19) is associated with several dermatologic manifestations. Case series have reported a wide range of skin findings including pernio-like lesions, erythematous macular or papular rashes, morbilliform or varicelliform eruptions, urticaria, vesicles, petechiae, purpura, livedo reticularis-like lesions, and acro-ischemic lesions (Freeman et al. 2020). In many cases, the presentation of these cutaneous signs appeared concurrently with or prior to the onset of other COVID-19 symptoms. Thus, dermatologist involvement may expedite COVID-19 diagnosis and improve management. We are requesting Level 2 de-identified data to compare mortality rates, length of hospitalization, and treatment modalities for patients with COVID-19 who had a dermatology provider involved in their care versus those who did not."
"Impact of medication on outcomes for diabetic patients","Lead Investigator: Andrew Crouse","Accessing Institution: University of Alabama at Birmingham","Approximately 9% of the world-wide adult population suffers from diabetes.  As the SAR-CoV-2 virus continues to spread through the population diabetes has been identified as a risk factor for severe COVID19, the disease associated with this virus.  The specific mechanism underlying this is unclear.  Preliminary results using our EHR COVIID cohort showed evidence that medications treating diabetes may diminish the negative impact on outcomes associated with the disease.  Using the N3C data set to study subsets of the cohort with lab values may not only allow confirmation of previous results, but also may suggest mechanisms of action based on changes in lab values."
"Impacts of COVID -19 in Older Adults (Elder Impact Domain) Level 2","Lead Investigator: Soko Setoguchi Iwata","Accessing Institution: Rutgers, The State University of New Jersey","While older adults represent 24% of overall infections in the US, almost 80% of COVID-related deaths occur in this age group. However, fewer studies have focused on vulnerable older adults especially in those with signifying characteristics of older adults including multi-morbidity, polypharmacy, and reduced cognitive and physical function. It is also not clear if overall excess risk in older adults is fully explained by known individual risk factors. We hypothesize that the older adult population with underlying comorbid conditions will have worse COVID-19-related outcomes following infection with SARS-CoV-2.Using N3C data, we will conduct a series of epidemiologic studies to understand the impact of COVID-19 in older adults defined as age >= 65. Some questions include: 1)describe morbidity and mortality in older adults with COVID-19 including with multi-morbidity, polypharmacy, dementia, or those with functional limitations and how characteristics, management and outcomes;  2) Compare COVID-19 among older adults to younger adults; 3) methodological studies to identify cognitive function, physical function, multimorbidity, and polypharmacy collaborating. with NLP group. We will design cohort studies using N3C data for descriptive and analytic studies and work with the NLP group on the methodologic studies. The results of the proposed studies will advance our understanding of impacts of COVID-19 in older adults and can be used by clinicians to protect and better manage older vulnerable adults."
"Impacts of COVID -19 in Older Adults (Elder Impact Domain)","Lead Investigator: Soko Setoguchi Iwata","Accessing Institution: Rutgers, The State University of New Jersey","While older adults represent 24% of overall infections in the US, almost 80% of COVID-related deaths occur in this age group. However, fewer studies have focused on vulnerable older adults especially in those with signifying characteristics of older adults including multi-morbidity, polypharmacy, and reduced cognitive and physical function. It is also not clear if overall excess risk in older adults is fully explained by known individual risk factors. We hypothesize that the older adult population with underlying comorbid conditions will have worse COVID-19-related outcomes following infection with SARS-CoV-2.Using N3C data, we will conduct a series of epidemiologic studies to understand the impact of COVID-19 in older adults defined as age >= 65. Some questions include: 1)describe morbidity and mortality in older adults with COVID-19 including with multi-morbidity, polypharmacy, dementia, or those with functional limitations and how characteristics, management and outcome changed over time since March 2020 and current;  2) Compare COVID-19 among older adults to younger adults; 3) methodological studies to identify cognitive function, physical function, multimorbidity, and polypharmacy collaborating. We will design cohort studies using N3C data for descriptive and analytic studies and work with the NLP group on the methodologic studies. The results of the proposed studies will advance our understanding of impacts of COVID-19 in older adults and can be used by clinicians to protect and better manage older vulnerable adults."
"Incidence and outcomes of COVID-19 infection in patients with chronic liver disease","Lead Investigator: Armaghan-e-Rehman Mansoor","Accessing Institution: West Virginia University","In our study, we wish to compare outcomes of COVID-19 infection in patients with and without chronic liver disease. Subgroup analyses will be conducted to compare these outcomes in patients with viral hepatitides B, C, alcoholic liver disease and non-alcoholic fatty liver disease (NASH), with and without cirrhosis. The effect of different antiviral treatments for Hepatitis B or C in patients with viral hepatitis on clinical course of COVID-19 will also be explored. We also aim to look at predictors of severe disease in this cohort."
"Investigating COVID-19 burden in neurofibromatosis type 1 patients","Lead Investigator: Jineta Banerjee","Accessing Institution: Sage Bionetworks","Pre-existing conditions like diabetes, cardiovascular diseases, or pulmonary vulnerabilities influence the prognosis of COVID-19 in the human population. However, the prognosis of COVID-19 in populations diagnosed with rare diseases, specifically neurofibromatosis (a family of diseases like NF1, NF2, and Schwannomatosis), is not well understood. Understanding the prevalence and co-morbidities of COVID-19 in people diagnosed with neurofibromatosis may help identify new detection criteria, isolation criteria, or treatment candidates for COVID-19. We aim to implement machine learning methodologies that are robust towards identification and analysis of rare samples to elucidate the prevalence and co-morbidities of COVID-19 in people with Neurofibromatosis."
"Investigating the impact of biases on the performance of analytical models for COVID-19 related care.","Lead Investigator: Suranga Kasthurirathne","Accessing Institution: Indiana University","Artificial?intelligence (AI)?offers?considerable?potential to support efforts to combat the COVID-19 pandemic. However, a majority of datasets used for COVID research were originally collected in support of patient care or to document costs, and not in support of research purposes. The quality of such datasets may be influenced by prejudiced decision making, poor representation of vulnerable populations, and incompleteness or errors in data collection and processing[1, 2]. These issues contribute to bias, which is broadly defined as systematic errors resulting in one population being favored over another[2]. Use of such datasets for analytics leads to the garbage in - garbage out problem[3] resulting in biased analytical models harmful to vulnerable populations such as minorities, seniors, women, persons with special healthcare needs or those impacted by adverse SDoH[4, 5]. These concerns are particularly relevant in context of the COVID epidemic, which has raised serious questions on disparities in care across diverse patient populations. As such, there is an urgent need to Investigate analytical models for biases caused by demographic factors such as race/ethnicity, gender or age, or various SDoH. Our long-term goal is to develop reproducible methods to address systematic analytical biases targeting vulnerable populations. The objective of this proposal is to mitigate analytical biases in AI models that predict COVID related care needs. 1.	Roebuck K. Data quality: high-impact strategies-what you need to know: definitions, adoptions, impact, benefits, maturity, vendors: Emereo Publishing; 2012. ISBN: 1743048564.2.	Ferryman K, Pitcan M. Fairness in precision medicine. Data & Society. 2018.3.	Kim Y, Huang J, Emery S. Garbage in, garbage out: data collection, quality assessment and reporting standards for social media data use in health research, infodemiology and digital disease detection. Journal of medical Internet research. 2016;18(2):e41.4.	Shankar S, Halpern Y, Breck E, Atwood J, Wilson J, Sculley D. No classification without representation: Assessing geodiversity issues in open data sets for the developing world. arXiv preprint arXiv:171108536. 2017.5.	Tommasi T, Patricia N, Caputo B, Tuytelaars T. A deeper look at dataset bias.  Domain adaptation in computer vision applications: Springer; 2017. p. 37-55."
"Investigation of the benefit of Ciclosporin A therapy.","Lead Investigator: Markus Seeliger","Accessing Institution: Stony Brook University","The purpose of this project is to evaluate the benefit of Ciclosporin A therapy (CsA) for pre-existing conditions such as kidney transplant or autoimmunediseases in patients with COVID-19. We will study the association of patient data (including socio-demographics, comorbidities, medications, laboratory values and other investigations) with outcomes (mechanical ventilation, and death) in COVID-19 patients. For all analyses, we will conduct studies to compare outcomes in patients with COVID-19 with those who tested negative for COVID-19 (control group)."
"LDS Part II NCATS Investigation into drug efficacy of disease pathology and post-acute COVID-19 syndrome","Lead Investigator: Ken Gersing","Accessing Institution: National Center for Advancing Translational Sciences","NOTE: This is upgrade to LDS from an existing project "NCATS Investigation into drug efficacy of disease pathology and post-acute COVID-19 syndrome"Answers to several important questions related to COVID-19 treatment and long-term outcomes remain unclear. The overall scope or statistical power of existing studies has largely been limited by small cohorts. Access to the de-identified (Level 2) N3C data will allow us to revisit these questions on an unprecedented scale and better understand rarer long-term consequences of the disease. Both hypothesis and data-driven approaches will be used to carry out investigations into three key areas. The first involves the effect of particular drugs and drug classes in treating different stages and/or cohorts of COVID-19 including but not limited to: SSRIs, ACE inhibitors, corticosteroids, antivirals, and antihistamines. Preliminary studies have indicated that at least some of these therapies may decrease overall mortality or reduce the likelihood of clinical deterioration, although some data are conflicting. The second relates to the quantification and prediction of the relative risk, and the factors contributing to that risk, for COVID-19 patients across the severity spectrum. These models will be analyzed across various vulnerable patient cohorts including but not limited to: diabetics, COPD, kidney disease, immunocompromised patients, etc. Also, assessing the risk of specific complications over a larger population to more comprehensively determine outcome rates and comorbidities will be performed with the N3C dataset. Finally, the third involves assessing the long-term consequences of COVID-19. A more precise definition of ?post-acute COVID-19 syndrome? is needed, and patient phenotyping has yet to be carried out. Thus, both identification, stratification, and prediction of these patients will be performed using the N3C dataset."
"Leveraging deep learning to determine risk factors of COVID-19","Lead Investigator: SIRU LIU","Accessing Institution: University of Utah","In this project, we propose to develop deep learning models to explore risk factors of COVID-19 and predict patient's outcomes after the diagnosis. The model could be used to develop a clinical decision support tool to improve healthcare quality. We are requiring to access the EHR data. We will use demographic features, lab data, medication, and features identified from notes to develop the predictive model."
"Liver Function as a Predictor of COVID-19 Outcomes","Lead Investigator: Bijun Kannadath","Accessing Institution: University of Arizona","Coronavirus Disease 19 (COVID-19) is primarily a disease affecting the respiratory system. The major cause of morbidity and mortality resultant in infected patients is from the development of Acute Respiratory Distress Syndrome (ARDS). However, The affinity of the virus for ACE2 receptors and the presence of ACE2 receptors in other body systems such as the liver, heart, skeletal muscle and nervous system has resulted in various non-respiratory manifestations of COVID-19. These non-respiratory manifestations include anosmia, myocarditis, prolonged myalgia, fatigue, memory loss. The liver is also vulnerable similarly. Virus particles can multiply within the liver to cause direct cytopathic effects. COVID-19 associated liver injury is now well documented in patients without pre-existing liver disease with elevated Liver Function Tests (LFTs) being reported frequently. Additionally, the cytokine storm associated with severe disease, systemic hypoxia and Drug Induced Liver Injury (DILI) may also contribute to deterioration in liver function. Thus we hypothesis that the temporal analysis of the changes in LFTs over the course of a patient?s illness and treatment will reveal early markers of clinical deterioration and/or mortality. This study aims to study the patterns of progression of liver injury in COVID-19 patients and to discover associations with any patient co-morbidities and to determine if LFTs can serve as a predictor of COVID-19 disease severity and progression."
"Logic Liaison Team","Lead Investigator: Johanna Loomba","Accessing Institution: University of Virginia","The [N3C Operational] Logic Liaison data use request pertains to a small set of N3C staff and community members who are in the Logic Liaison role (supporting creation of derived variables for use by Domain Teams).  This DUR will provide this team shared access to a workspace where they can use de-identified data for the purpose of preparing, cleaning, and harmonizing broad generic templates.  These templates will later be shared in the Knowledge Store so that they can quickly be customized for Domain Teams according to their specific needs. To become a member of the [N3C Operational] Logic Liaison project, individuals must be identified by leadership as being in this role and apply using the DUR process where attestation to follow the data user agreement, code of conduct, security training and human subjects training are required."
"Machine Learning for Disparities in COVID-19 Patient Outcomes","Lead Investigator: Vicki Hertzberg","Accessing Institution: Emory University","Racial disparities in the clinical course of COVID-19 illness exist. In particular, Blacks experience more severe disease and higher case fatality rates than whites. The reasons for these differences are not readily apparent. A better understanding of patient-specific factors predicting COVID-19 outcomes in Black hospitalized patients will improve understanding of racial disparities in this disease. To this end we propose to use machine learning techniques to develop predictive models for adverse clinical outcomes among Black and white patients hospitalized with COVID-19, addressing the following specific aims and research questions:1. Aim 1: Predict adverse patient outcomes in Black and white hospitalized COVID-19 patients using machine learning.? How well do existing risk scores predict patient outcomes in this population?? Can two machine learning models, one trained on Blacks and the other on whites, provide betterpredictions of patient outcomes?? How do Blacks and whites compare for existing risk scores as well for our model(s)?2. Aim 2:  Develop an open-source software toolkit.This project will lay the foundation for future refinement of existing machine learning methods as well as development of new methods to improve prediction of COVID-19 outcomes for Black hospitalized patients."
"Machine Learning for Identifying Severe Outcome Risk Factors in COVID-19","Lead Investigator: ELAINE HILL","Accessing Institution: University of Rochester","Risk factors of COVID-19 mortality, and other severe outcomes, have thus far been identified based on clinical studies using traditional statistical methods. Understanding of the full suite of the risk factors remains limited and the true death toll of the pandemic is unknown. The objective of this research is to develop a replicable framework for identifying risk factors for severe COVID-19 outcomes using N3C cohort data and advanced data-driven methods. The use of advanced machine-learning methods to achieve this objective is critical, as traditional statistical methods may not be able to handle issues likely present in these data, including severe multicollinearity, a high imbalance between known COVID-19 involved and non-involved cases, and sparsity. Using the limited data set (level 3) from N3C and machine-learning techniques, we will identify predictors of severe COVID-19 illness (e.g., hospitalization, ICU use, ventilator use). In our main models, we will include individual demographics, clinical factors, and underlying medical conditions as well as county and 5-digit zip code-level demographic, economic, and social characteristics. For exploratory analyses, we will include data on healthcare resources and local environmental characteristics."
"Machine Learning to Predict COVID-19 Risk","Lead Investigator: Ryan Melvin","Accessing Institution: University of Alabama at Birmingham","The COVID-19 pandemic continues to be a major healthcare crisis at the time of this writing.  In this work, we apply a deep learning technique for combining multiple machine learning models ? each considering a different set of facts for the prediction of a positive test for COVID-19.  The output of the model is the prediction of a positive test for COVID-19. Additionally, using variable importance methods, we report the most predictive risk factors in the final trained model.  The final model is a set of multi-layer perceptrons trained in concert with one another whose outputs are combined by a final layer which outputs a class (positive test or negative test).  This paper shows that deep learning provides novel insights into the risk factors predictive of a positive COVID-19 test."
"Medications and comorbid conditions affecting COVID-19 progression","Lead Investigator: Andrey Rzhetsky","Accessing Institution: University of Chicago","We aim to develop, benchmark, and disseminate a collection of models that will predict patient-specific disease severity on the basis of partial and locale-specific population information, individual health and treatment histories, locally circulating viral strains, and the infection?s temporal and spatial dynamics. This collection will account for data heterogeneity, data incompleteness, and differences in modeling approaches, so that forecasts can be averaged over a spectrum of theories and encapsulated into probabilistic models."
"Methods for generalizable clinical prediction models for prognosis in patients with diagnosis of COVID-19","Lead Investigator: Satyanarayana Vedula","Accessing Institution: Johns Hopkins University","Prognostic models are not only inaccurate but also unlikely to generalize when treatment patterns are ignored. In the case of Covid-19, treatments have rapidly evolved within a compressed timeframe of 1 year. There is substantial heterogeneity in treatment patterns across sites and over time. The goals for this research are as follows:1. Describe heterogeneity in geographic and spatial treatment patterns2. Evaluate generalizability of existing methods to predict progression in patients with diagnosis of COVID-19 given treatment heterogeneity3. Develop new methods for generalizable clinical prediction models, using Covid-19 as a case study"
"Modeling of COVID-19 Risks for Back-to-Work Programs","Lead Investigator: Li Li","Accessing Institution: Mount Sinai Genomics Inc","Scientific Goals: To develop a modeling framework that informs decisions for sustainable, lower cost, and effective testing strategies during the COVID-19 post-lockdown era through leveraging information from various scales. The N3C limited Data Set (N3CLDS) will be used to estimate the risk of contracting/transmitting COVID-19.Objectives, designs, and plans: Given the prolonged pandemic, many companies/schools have started to implement programs involving COVID-19 testing, symptom reporting, and contact tracing to safely bring people back to work/school. However, the programs mainly rely on passive reporting and universal testing schedules without considering the heterogeneity in a workforce. Models that can actively guide the logistics of testing is essential to control the disease transmission effectively. We performed a pilot study on risk factors of COVID-19 infection from EMR data at Mount Sinai Health System.  However, the study population was limited to NYC area. To obtain more accurate and generalizable estimates of an individual?s risk of contracting and transmitting COVID-19, data from N3CLDS are essential given the comprehensive information on individual-level risk factors with the wide geographical coverage. We propose a Bayesian hierarchical model to incorporate data from individual and community levels. In turn, this estimated risk can serve as an indicator for individuals who might need more frequent testing. Additionally, the model can be expanded to include a network-based transmission model to integrate contact network structures where necessary."
"Moderation effects of smoking in the association of comorbidities and COVID-19 outcomes","Lead Investigator: Dongmei Li","Accessing Institution: University of Rochester","Recent studies have shown COVID-19 patients with comorbidities have an increased risk for severe illness of COVID-19. Numerous studies have showed the link between smoking and comorbidities as smoking is a well-known risk factor for common comorbidities. However, the association of smoking and severity of COVID-19 is still unclear with inclusive results from recent studies. Given the association of comorbidities with both smoking and COVID-19, we propose to investigate the moderation effects of smoking in the association of comorbidities and COVID-19 using de-identified data (level 2) from the National COVID Cohort Collaborative (N3C). Our research question is whether smoking has moderation effects in the association of comorbidities with COVID-19 outcomes such as whether a patient is hospitalized, admitted to the ICU, and dead due to COVID-19. The proposed study will contribute to the literature on the direct and indirect association of both smoking and comorbidities with COVID-19 outcomes. Further we also plan to determine the health disparity relationship with smoking in COVID-19."
"Monocytopenia in COVID-19","Lead Investigator: Nathan Cummins","Accessing Institution: Mayo Clinic","Abnormalities in peripheral blood leukocytes subsets have been widely described in COVID-19. However, there have been conflicting reports regarding whether monocytes are decreased in COVID-19, and whether a decrease in monocytes is associated with severe COVID-19 or poor outcomes. We propose to analyze the Synthetic N3C dataset to determine if circulating monocytes are reduced in COVID-19, and if monocytopenia is associated with worse outcomes."
"Mortality Rates of COVID+ Hospitalized Patients with a History of Hypertension on Different Hypertensive Medications","Lead Investigator: Alessandro Ghigi","Accessing Institution: University of California, Irvine","This study aims to understand, among COVID+ hospitalized patients with a history of hypertension, what is the mortality rate of the following five different patient cohorts: (1) on any ACE inhibitor, no ARB; (2) on any ARB, no ACE inhibitor; (3) on both ACE inhibitor and ARB; (4) on any other hypertensive medication, no Ace inhibitor, no ARB; and (5) not on any hypertensive medication?"
"Multiorgan Dysfunction Syndrome and Complex Clinical Trajectory","Lead Investigator: Rishikesan Kamaleswaran","Accessing Institution: Emory University","This project seeks to develop clinical phenotypes of critical illness among patients with COVID-19 that progress to have multiple organ dysfunction syndrome (MODS). We propose to develop machine learning models that predict worsening clinical course and severity of MODS."
"N3C Cohort Characterization","Lead Investigator: Tell Bennett","Accessing Institution: University of Colorado Anschutz Medical Campus","The aims of this project are to clinically and geographically characterize the adults (SA 1) and children (SA 2) in the NIH-funded National COVID Cohort Collaborative (N3C) database and their treatment pathways. This is a N3C Consortium project."
"N3C Diabetes and Obesity Domain Team level 2 request for data","Lead Investigator: John Buse","Accessing Institution: University of North Carolina at Chapel Hill","The purpose of the National COVID-19 Collaborative Cohort (N3C) diabetes task team is to do work in preparation for specific studies to examine the relationship of baseline factors (drugs, labs, other diagnoses) in patients with positive and negative results of COVID-19 PCR tests with health outcomes. Initial plans exist for studies examining the relationship between baseline A1c as an index of glycemic control as well as prescription of certain diabetes drugs on outcomes such as hospitalization, ICU stays, various levels of respiratory support, death, length of stay.  Full protocols for all research studies will be the subject of future IRB submission."
"N3C ImmunoSuppressed/Compromised Task Team: The Impact of COVID-19 on the ISC Population","Lead Investigator: Amy Olex","Accessing Institution: Virginia Commonwealth University","Individuals with compromised or suppressed immune systems (ISC)  are considered high-risk for developing severe or life-threatening symptoms due to viral infections; however, little is known about the impact of COVID-19 on ISC populations.  The ISC population is diverse in the levels, types, and durations of immunosuppression, including individuals with autoimmune diseases, immune compromising medical conditions, such as HIV,  and solid organ transplant (SOT) patients that require therapeutics to suppress rejection responses against the allograft.  Our team is requesting access to the Level 2 de-identified data to gain a better understanding of how COVID-19 affects ISC sub-populations.  Our initial research will focus on a subset of target populations: persons with HIV (PWH), SOT, and autoimmune disorders including skin diseases such as atopic dermatitis and eczema.  For each of these, we will ask the following questions: 1) What is the incidence of COVID-19 infection in the target population, and is it higher than in those without the ISC conditions?; 2) Is there an association between the target population and severity of COVID-19 infection?; 3) Is there a difference in severity of COVID-19 infection depending on the type/class of immunosuppressive drug used across the target population?; 4) What is the outcome of the target population after treatment for COVID-19 within those that are hospitalized (e.g. ventilator, LOS, death)?  Through this research, we will gain a better understanding of how various types, levels, and durations of immunosuppression or compromise contribute towards ISC patient outcomes upon COVID-19 infection."
"N3C Pregnancy Task Team: COVID-19 Incidence, Treatment, and Outcomes in Pregnant Women","Lead Investigator: ELAINE HILL","Accessing Institution: University of Rochester","This project seeks to understand associations between SARS-CoV-2 infection and treatment for COVID-19 with maternal and infant outcomes in the N3C cohort. We also seek to understand associations between maternal characteristics, including clinical and environmental factors, with COVID-19 severity among pregnant women. We will describe the incidence, timing, and severity of SARS-CoV-2 infection in pregnant women, as well as ascertain incidence rates differing between pregnant women vs. non-pregnant women of reproductive potential. Maternal outcomes include pregnancy-related complications (e.g., C-section delivery or use of intensive care unit [ICU]), maternal morbidity, and maternal mortality. Infant outcomes include birth outcomes (e.g., birth weight or preterm birth), infant complications, and use of neonatal ICU. If possible, we will assess the likelihood of vertical transmission of SARS-CoV-2 from mother to infant and healthcare utilization during pregnant and postpartum periods among pregnant women."
"National COVID Cohort Collaborative (N3C) Clinical Characterization for Kidney Disease and Hypertension","Lead Investigator: Farrukh Koraishy","Accessing Institution: Stony Brook University","The purpose of this project is to characterize kidney disease (including acute kidney injury [AKI], chronic kidney disease [CKD and End-Stage Renal Disease [ESRD]) and hypertension   in patients with COVID-19. We will study the association of patient data (including socio-demographics, comorbidities, medications, laboratory values and other investigations) with outcomes (including AKI, renal recovery, mechanical ventilation, and death) in COVID-19 patients. For all analyses, we will conduct studies to compare outcomes in patients with COVID-19 with those who tested negative for COVID-19 (control group).Specific Aims:1. Determine the incidence/prevalence of AKI, AKI severity, renal recovery and incident/progressive CKD in patients with and without COVID-19 disease. 2. Determine the factors association with AKI, AKI severity, renal recovery and incident/progressive CKD in patients with and without COVID-19 disease.3. Determine the short and long-term outcomes associated with AKI, AKI severity, renal recovery and incident/progressive CKD in patients with and without COVID-19 disease4. Determine the outcomes associated with ESRD in patients with and without COVID-19 disease5. Determine the outcomes associated with hypertension and anti-hypertensive medications in patients with and without COVID-19 disease"
"NCATS Investigation into drug efficacy of disease pathology and post-acute COVID-19 syndrome","Lead Investigator: Nathan Hotaling","Accessing Institution: National Center for Advancing Translational Sciences","Answers to several important questions related to COVID-19 treatment and long-term outcomes remain unclear. The overall scope or statistical power of existing studies has largely been limited by small cohorts. Access to the de-identified (Level 2) N3C data will allow us to revisit these questions on an unprecedented scale and better understand rarer long-term consequences of the disease. Both hypothesis and data-driven approaches will be used to carry out investigations into three key areas. The first involves the effect of particular drugs and drug classes in treating different stages and/or cohorts of COVID-19 including but not limited to: SSRIs, ACE inhibitors, corticosteroids, antivirals, and antihistamines. Preliminary studies have indicated that at least some of these therapies may decrease overall mortality or reduce the likelihood of clinical deterioration, although some data are conflicting. The second relates to the quantification and prediction of the relative risk, and the factors contributing to that risk, for COVID-19 patients across the severity spectrum. These models will be analyzed across various vulnerable patient cohorts including but not limited to: diabetics, COPD, kidney disease, immunocompromised patients, etc. Also, assessing the risk of specific complications over a larger population to more comprehensively determine outcome rates and comorbidities will be performed with the N3C dataset. Finally, the third involves assessing the long-term consequences of COVID-19. A more precise definition of ?post-acute COVID-19 syndrome? is needed, and patient phenotyping has yet to be carried out. Thus, both identification, stratification, and prediction of these patients will be performed using the N3C dataset."
"Neurological disorders in COVID patients (non-stroke)","Lead Investigator: Ofer Sadan","Accessing Institution: Emory University","This project will describe non-stroke related neurological complications of COVID-19 patients and with an emphasis on critically ill COVID-19 patients as well as those who specifically require neurocritical care service. Initial focus will be placed on encephalopathy, delirium and autonomic dysfunction. The project will investigate risk factors and interventions which are correlated to delirium, or to its absence, as well as the correlation between delirium and outcomes in this patient population."
"Neurological Manifestation of SARS-CoV-2 infection in African Americans:  AI-based Novel Approach of Prognostic and Risk Stratification Models","Lead Investigator: Nizar Souayah","Accessing Institution: Rutgers, The State University of New Jersey","An increasing body of literature suggests that COVID-19 patients (C-Ps) often have neurological symptoms and signs, either revealing or SARS-CoV-2 Infection, associated with poor prognosis. In parallel, mortality and prevalence estimates show a consistent pattern of racial/ethnic differences. Specifically, members of the African American (A-A) community. Main hypothesis: we hypothesize that: 1) neurological manifestations of SARS-CoV-2 Infection in A-A correlate with demographics, comorbid conditions including functional and biological markersAim1: i) Characterize, survival, demographic profile, comorbid conditions, disease progression, and outcomes of A-A C-Ps with/without neurological complications compared to Caucasians Aim 2: Predict C-Ps' outcome and occurrence of neurological complications with and without specific nervous system involvement in A-A compared to Caucasian patients.  Aim 3: Prospectively investigate the correlation between, on the one hand, demographic, clinical, radiological, functional, and biological markers, and on the other hand, A-A COVID mortality outcomes and occurrence of neurological complications."
"Neurosurgical procedure outcomes for COVID-19 positive patients","Lead Investigator: Ashley Selner","Accessing Institution: University of Illinois at Chicago","This project aims to assess the prevalence of neurosurgical interventions in patients with COVID-19 and their outcomes. The patient sample will consist of COVID-19 positive individuals in the N3C database reported to have underwent neurosurgical procedures. A control cohort of patients without COVID-19 undergoing neurosurgical procedures within the same time frame will be assessed. Demographics, history, comorbidities, imaging, laboratory, treatment, complications and disposition of de-identified patients will be reviewed in order to evaluate factors affecting clinical outcomes. Subgroup analyses for specific neurosurgical procedures such as external ventricular drain placement, craniotomy, spine and endovascular will be performed."
"NIRVANA","Lead Investigator: Joel Michalek","Accessing Institution: The University of Texas Health Science Center at San Antonio","Title:	NIcotinamide Riboside  in SARS-CoV-2 pAtients for reNAl protection (NIRVANA)Study Description: A pilot, double-blind, placebo-controlled, multicenter, interventional clinical trial with oral nicotinamide riboside (NR) 500 mg (versus placebo) twice daily for a total of 10 days in hospitalized participants with COVID-19.Objectives:	The primary objective is to determine the effect of NR on AKI free days during 10-day intervention	The secondary objective is to evaluate the effect of NR on MAKE criteria (development or progression of chronic kidney disease, the initiation of long-term dialysis, or death from any cause) at 30 and 90d post randomization	The exploratory objectives are (i) to determine the safety of NR in participants admitted with COVID-19 and AKI compared to placebo during the 10-day intervention; (ii) to determine the effect of NR on degree of kidney impairment at 30 and 90d post randomizationEndpoints: The primary endpoint is an ordinal categorical outcome with four categories (labeled 1, 2, 3, 4), defined as, in order from least to most severe disease, 1. Serum creatinine AUC below the median, 2. Serum creatinine AUC greater than or equal to the median, 3. Dialysis, 4. Death. 	Secondary Endpoint: MAKE criteria (doubling of serum creatinine, the initiation of long-term dialysis, or death from any cause) at 30 and 90d post randomization	Exploratory endpoints: (i) safety of NR in participants admitted with COVID-19 and AKI compared to placebo during the 10-day intervention; (ii) eGFR and proteinuria at 30 and 90d post randomizationStudy Population: Participants will be >18 years old and admitted to hospital with a laboratory diagnosis of COVID-19 infection and AKI"
"Occurrence of neurological diseases in hospitalized patients with COVID-19 infection","Lead Investigator: Wei Huang","Accessing Institution: University of Missouri","Specific Aims:1. To determine the rates of neurological causes of death among patients diagnosed with COVID-19.2. To determine any differences in rates of neurological causes of death in various strata of patients.Methods:We will use de-identified data to evaluate the prevalence of stroke (with subtypes), encephalopathy, encephalitis, meningitis, seizures, and neuropathy as primary or secondary causes of death. We will evaluate the prevalence of neurological causes of death in various age, gender, and race/ethnicity subgroups. We will compare the characteristics of patients with COVID-19 with neurological causes of death with those without neurological causes of death."
